City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
sangmelima,36,CM,1547192431,83,2.93,11.98,76.22,2.95
coos bay,1,US,1547189760,96,43.37,-124.22,48.02,4.7
payo,76,ID,1547192431,77,-3.75,103.64,85.67,8.21
castro,76,CL,1547190000,100,-42.48,-73.76,39.2,2.24
pisco,75,PE,1547190000,88,-13.71,-76.2,71.6,1.12
sao filipe,0,CV,1547192433,96,14.9,-24.5,71.99,14.47
russkaya polyana,56,RU,1547192433,89,53.78,73.88,1.97,8.99
ilulissat,0,GL,1547189400,52,69.22,-51.1,-7.61,3.36
kirovskiy,0,RU,1547192434,64,45.09,133.51,-0.02,2.28
tiarei,75,PF,1547191800,88,-17.53,-149.33,78.8,5.82
umm lajj,36,SA,1547192435,66,25.02,37.27,76.31,6.08
jalu,0,LY,1547192435,29,29.03,21.55,61.46,6.98
tuktoyaktuk,24,CA,1547192435,74,69.44,-133.03,-16.49,11.01
kununurra,0,AU,1547190000,33,-15.77,128.74,102.2,5.82
antofagasta,0,CL,1547190000,56,-23.65,-70.4,68.0,4.7
mayumba,88,GA,1547192436,100,-3.44,10.65,77.3,4.74
dunedin,0,NZ,1547192225,64,-45.87,170.5,50.39,11.34
buin,0,CL,1547190000,62,-33.73,-70.74,57.2,5.82
pangoa,92,PE,1547192437,100,-12.12,-73.0,63.03,1.39
kavali,0,IN,1547192199,53,14.91,79.99,84.23,10.89
ojinaga,90,US,1547192100,88,29.56,-104.41,56.84,5.82
tiznit,12,MA,1547192437,92,29.7,-9.73,47.87,3.85
hualmay,68,PE,1547192438,94,-11.1,-77.61,66.45,2.17
upernavik,36,GL,1547192438,100,72.79,-56.15,-6.45,6.64
katangli,0,RU,1547192438,100,51.71,143.23,5.88,17.94
rennes,90,FR,1547190000,100,48.11,-1.68,46.4,3.36
san cristobal,90,EC,1547190000,100,-0.39,-78.55,53.6,3.36
poshekhonye,80,RU,1547192439,91,58.5,39.12,15.15,15.7
kapchorwa,0,UG,1547192440,64,1.4,34.45,79.23,3.74
urusha,0,RU,1547192440,57,54.05,122.9,-12.75,2.62
gizo,0,IL,1547191200,47,31.8,34.94,55.4,2.24
tilichiki,36,RU,1547192440,81,60.47,166.1,19.2,12.46
barrow,0,AR,1547192441,81,-38.31,-60.23,42.06,4.74
narsaq,76,GL,1547192441,71,60.91,-46.05,13.35,1.95
lompoc,90,US,1547190900,96,34.64,-120.46,53.96,3.36
karasburg,0,NA,1547192442,19,-28.01,18.75,81.26,4.63
verkhnyaya inta,12,RU,1547192442,61,65.99,60.32,-13.25,2.51
teknaf,0,BD,1547192442,47,20.86,92.31,80.81,2.62
yulara,0,AU,1547190000,11,-25.24,130.99,109.4,12.75
bordighera,5,IT,1547189700,26,43.79,7.66,42.8,2.24
luanda,75,AO,1547186400,83,-8.83,13.24,78.8,5.82
beroroha,76,MG,1547192444,71,-21.68,45.17,84.14,10.0
carnarvon,0,ZA,1547192444,18,-30.97,22.13,78.92,15.82
egvekinot,8,RU,1547192444,52,66.32,-179.17,-31.7,2.73
tezu,0,IN,1547192445,41,27.93,96.16,60.33,1.83
los llanos de aridane,20,ES,1547190000,59,28.66,-17.92,60.8,8.05
east london,40,ZA,1547190000,73,-33.02,27.91,73.4,8.05
guayaramerin,92,BO,1547192446,93,-10.82,-65.36,72.66,2.17
ko samui,20,TH,1547190000,70,9.54,99.94,86.0,11.41
abha,0,SA,1547190000,39,18.22,42.5,68.0,10.29
kolondieba,0,ML,1547192447,35,11.09,-6.89,74.24,4.63
rubizhne,92,UA,1547192447,100,49.02,38.37,30.05,6.64
palafrugell,0,ES,1547190000,92,41.92,3.16,23.0,18.05
telimele,0,GN,1547192448,88,10.9,-13.03,69.74,3.74
bambous virieux,75,MU,1547190000,78,-20.34,57.76,82.4,9.17
christchurch,80,NZ,1547190000,93,-43.53,172.64,55.4,9.17
lovozero,36,RU,1547192449,73,68.01,35.02,18.8,7.54
marawi,92,PH,1547192449,85,8.0,124.29,72.75,3.06
caracal,92,RO,1547190000,92,44.11,24.35,28.4,8.05
balad,12,ID,1547192450,100,-6.76,108.42,84.23,7.65
sri aman,75,MY,1547190000,83,1.24,111.46,84.2,2.95
general cepeda,90,MX,1547188800,93,25.38,-101.48,44.6,2.39
butaritari,32,KI,1547192451,100,3.07,172.79,82.38,7.99
lindi,48,TZ,1547192451,75,-10.0,39.71,85.76,6.76
prince rupert,90,CA,1547190000,87,54.32,-130.32,46.4,14.99
laguna,92,MX,1547192452,98,27.52,-110.01,57.95,1.95
green river,90,US,1547189640,92,41.53,-109.47,26.06,9.17
vardo,90,US,1547191200,54,39.62,-77.74,28.4,14.99
vaini,0,IN,1547190000,28,15.34,74.49,84.2,9.17
yar-sale,48,RU,1547192453,93,66.83,70.83,-15.54,10.45
new norfolk,20,AU,1547190000,24,-42.78,147.06,82.4,19.46
westport,90,IE,1547191800,100,53.8,-9.52,44.6,5.82
port lincoln,12,AU,1547192454,55,-34.72,135.86,82.07,7.99
tiksi,68,RU,1547192454,47,71.64,128.87,-29.49,3.51
kruisfontein,0,ZA,1547192455,69,-34.0,24.73,74.06,5.64
jamestown,0,AU,1547192455,36,-33.21,138.6,87.92,2.62
havelock,1,US,1547189880,55,34.88,-76.9,33.98,12.75
saint-georges,68,CA,1547192179,59,46.12,-70.67,9.89,10.56
kuching,75,MY,1547190000,66,1.56,110.34,87.8,9.17
leningradskiy,0,RU,1547192456,94,69.38,178.42,-7.4,24.87
kathu,0,ZA,1547192457,20,-27.7,23.05,88.91,4.74
formosa do rio preto,88,BR,1547192457,76,-11.04,-45.19,72.53,3.06
badiraguato,56,MX,1547192458,93,25.36,-107.55,62.9,2.06
mahebourg,75,MU,1547190000,78,-20.41,57.7,82.4,9.17
quatre cocos,75,MU,1547190000,78,-20.21,57.76,82.4,9.17
yacuanquer,12,CO,1547192459,98,1.12,-77.4,46.11,1.72
victoria,75,BN,1547190000,66,5.28,115.24,89.6,6.93
chegdomyn,0,RU,1547192460,69,51.13,133.04,-16.89,1.28
dresden,75,DE,1547191200,86,51.05,13.74,28.4,8.05
vostok,0,RU,1547192461,78,46.45,135.83,-5.15,2.28
flinders,90,AU,1547190000,100,-34.58,150.85,71.6,5.82
chokurdakh,56,RU,1547192461,54,70.62,147.9,-31.52,3.06
bereda,0,ES,1547190000,81,43.27,-7.54,32.0,4.97
changji,64,CN,1547192462,95,32.07,116.17,41.16,4.97
mangan,32,IN,1547192462,67,27.5,88.54,28.43,1.95
mount gambier,0,AU,1547190000,15,-37.83,140.78,89.6,17.22
san jose,24,PH,1547192168,71,15.79,120.99,77.43,5.64
sterling,1,US,1547192100,63,39.0,-77.4,30.02,11.41
tsabong,0,BW,1547192464,17,-26.02,22.4,91.65,5.75
belmonte,0,PT,1547192465,62,40.36,-7.35,31.49,9.44
sao paulo de olivenca,64,BR,1547192465,95,-3.38,-68.87,75.41,3.62
coquimbo,75,CL,1547190000,87,-29.95,-71.34,59.0,5.82
caravelas,92,BR,1547192466,100,-17.73,-39.27,80.18,10.56
tsuruga,0,JP,1547192466,94,35.64,136.07,39.86,9.78
ialibu,92,PG,1547192467,100,-6.28,143.99,57.05,0.38
uniontown,90,US,1547190900,85,39.9,-79.72,23.0,6.93
goderich,8,CA,1547192467,85,43.74,-81.71,14.03,9.78
kulhudhuffushi,32,MV,1547192468,100,6.62,73.07,81.71,11.23
cherskiy,0,RU,1547192468,50,68.75,161.3,-2.85,6.53
ballina,90,IE,1547191800,100,54.11,-9.15,44.6,5.82
college,20,US,1547189880,69,64.86,-147.8,-25.97,2.51
avarua,75,CK,1547190000,83,-21.21,-159.78,77.0,11.41
havre-saint-pierre,90,CA,1547190780,100,50.23,-63.6,28.4,11.41
pizarro,88,CO,1547192470,100,4.95,-77.37,73.97,4.18
bartlesville,90,US,1547189700,82,36.75,-95.98,41.54,8.05
pacifica,40,US,1547191140,80,37.61,-122.49,53.96,4.7
comodoro rivadavia,0,AR,1547190000,38,-45.87,-67.48,59.0,9.17
cape girardeau,1,US,1547190900,72,37.31,-89.52,28.4,6.93
praia da vitoria,75,PT,1547190000,82,38.73,-27.07,59.0,26.33
constitucion,0,MX,1547192471,78,23.99,-104.67,40.53,4.74
altay,0,CN,1547192472,86,47.83,88.13,13.04,1.95
ribeira grande,40,PT,1547190000,77,38.52,-28.7,60.8,25.28
kahului,40,US,1547189760,81,20.89,-156.47,71.06,4.7
ngunguru,80,NZ,1547192473,98,-35.62,174.5,70.37,5.75
mossendjo,100,CG,1547192473,96,-2.95,12.72,74.15,2.39
arraial do cabo,12,BR,1547192474,92,-22.97,-42.02,75.81,17.05
ulaangom,0,MN,1547192474,90,49.98,92.07,3.05,0.94
cabral,0,BR,1547190000,83,-22.82,-43.42,78.8,3.36
nyurba,36,RU,1547192475,74,63.29,118.35,-11.4,2.95
carberry,20,CA,1547190000,77,49.87,-99.36,3.2,8.05
kuito,48,AO,1547192475,83,-12.38,16.94,75.45,6.2
port-cartier,90,CA,1547190900,85,50.03,-66.88,23.0,6.93
khatanga,44,RU,1547192475,90,71.98,102.47,-40.65,1.39
contamana,36,PE,1547192476,89,-7.35,-75.01,74.91,1.95
pontianak,75,ID,1547190000,63,-0.02,109.34,91.4,5.82
chuy,0,UY,1547192476,96,-33.69,-53.46,65.51,14.03
ukiah,1,US,1547189760,79,39.15,-123.21,48.02,5.82
pundaguitan,92,PH,1547192477,100,6.37,126.17,80.54,10.45
clyde river,1,CA,1547190000,67,70.47,-68.59,-23.81,4.7
maniitsoq,12,GL,1547192477,100,65.42,-52.9,4.31,7.76
bundaberg,56,AU,1547190000,51,-24.87,152.35,82.4,17.22
dikson,0,RU,1547192478,100,73.51,80.55,-23.6,8.66
gao,0,ML,1547192478,35,16.28,-0.04,69.47,4.63
vila velha,75,BR,1547190000,83,-3.71,-38.6,80.6,8.05
mago,0,RU,1547192479,61,53.27,140.15,-2.9,4.85
williams lake,90,CA,1547190000,74,52.13,-122.14,37.4,13.87
puro,64,PH,1547192479,76,13.13,123.76,79.64,10.45
yablonovo,90,RU,1547190000,92,50.85,37.36,24.8,4.47
ostrovnoy,56,RU,1547192480,83,68.05,39.51,20.01,21.97
ozernovskiy,80,RU,1547192480,100,51.5,156.52,14.12,9.22
sur,8,OM,1547192481,95,22.57,59.53,74.46,17.83
vallam,40,IN,1547190000,45,10.72,79.06,86.0,11.41
henties bay,8,NA,1547192392,100,-22.12,14.28,65.01,5.08
moose factory,1,CA,1547190000,75,51.26,-80.61,-16.61,9.17
valle de allende,24,MX,1547192482,79,26.94,-105.39,40.8,2.06
kroya,48,ID,1547192483,94,-6.5,108.06,80.27,3.51
longyearbyen,40,NO,1547191200,47,78.22,15.63,14.0,28.86
chalchihuites,0,MX,1547192483,82,23.48,-103.88,34.41,3.18
esperance,20,TT,1547190000,88,10.24,-61.45,75.2,5.64
hun,75,BE,1547191200,93,50.34,4.87,39.2,9.17
belyy yar,0,RU,1547190000,72,53.6,91.39,10.4,4.47
persianovskiy,75,RU,1547190000,95,47.51,40.11,32.0,8.95
ishigaki,40,JP,1547190000,83,24.34,124.16,78.8,12.75
santa cruz,1,US,1547191200,93,36.97,-122.03,48.92,3.62
rawson,0,AR,1547192486,35,-43.3,-65.11,49.22,7.54
japura,80,ID,1547192487,64,-0.42,102.29,86.75,2.73
walvis bay,0,NA,1547190000,82,-22.95,14.51,62.6,4.7
tuatapere,8,NZ,1547192487,100,-46.13,167.69,52.05,10.11
marsh harbour,64,BS,1547192487,100,26.54,-77.06,68.39,10.45
chapais,90,CA,1547190000,76,49.78,-74.86,-7.61,12.75
kirakira,76,SB,1547192488,100,-10.46,161.92,83.55,11.79
dno,92,RU,1547192488,82,57.83,29.97,14.66,14.81
medzilaborce,64,SK,1547192489,84,49.27,21.9,17.72,7.99
kabo,0,CF,1547192489,24,7.69,18.62,89.85,7.87
kodiak,90,US,1547192100,37,39.95,-94.76,37.04,9.17
oranjemund,36,ZA,1547192489,93,-28.55,16.43,63.71,5.41
nikolskoye,90,RU,1547190000,92,59.7,30.79,23.0,11.18
hluti,24,SZ,1547192490,72,-27.22,31.62,82.83,2.17
krasnoarmeysk,75,RU,1547190000,92,56.12,38.15,14.0,8.95
churapcha,44,RU,1547192491,50,62.0,132.43,-30.75,4.63
taksimo,64,RU,1547192491,84,56.36,114.84,-8.03,1.72
chepareria,0,KE,1547192491,35,1.32,35.2,76.08,2.28
sitka,80,US,1547192492,66,37.17,-99.65,40.31,9.44
byron bay,0,AU,1547190000,61,-28.65,153.62,86.0,13.87
qasigiannguit,0,GL,1547189400,52,68.82,-51.19,-7.61,3.36
lodja,68,CD,1547192493,81,-3.52,23.6,80.0,3.18
jiwani,24,PK,1547192493,54,25.05,61.74,80.9,8.1
samarai,0,PG,1547192493,100,-10.62,150.67,83.28,10.67
navalmoral de la mata,0,ES,1547192493,75,39.89,-5.54,22.58,2.95
nishihara,40,JP,1547190000,31,35.74,139.53,51.8,12.75
eureka,1,US,1547192100,100,40.8,-124.16,50.0,5.82
mahibadhoo,36,MV,1547192495,100,3.78,72.97,82.34,11.45
shillong,20,IN,1547190000,48,25.58,91.88,75.2,5.82
nago,0,IT,1547191200,73,45.88,10.89,26.6,6.93
requena,0,ES,1547190000,83,39.49,-1.1,32.0,6.93
pemberton,0,AU,1547192496,37,-34.44,116.03,75.9,9.1
buala,92,SB,1547192496,90,-8.15,159.59,82.79,4.07
fort-shevchenko,68,KZ,1547192496,100,44.51,50.26,34.19,10.0
skibbereen,75,IE,1547191800,100,51.55,-9.27,46.4,3.36
diamantino,36,BR,1547192497,96,-14.4,-56.44,70.01,2.62
semnan,0,IR,1547190000,56,35.58,53.39,41.0,2.24
seydi,0,NE,1547190000,34,13.34,7.75,64.4,4.7
seminole,40,US,1547190900,84,32.72,-102.64,49.28,10.29
vila franca do campo,75,PT,1547190000,87,37.72,-25.43,57.2,11.41
quimper,90,FR,1547190000,100,48.0,-4.1,46.4,2.24
atar,12,MR,1547192500,41,20.52,-13.05,46.65,2.95
talnakh,68,RU,1547192500,53,69.49,88.39,-31.74,3.96
paamiut,68,GL,1547192500,94,61.99,-49.67,29.73,8.21
fare,92,PF,1547192501,100,-16.7,-151.02,79.19,18.72
linqiong,0,CN,1547190000,37,30.42,103.46,53.6,4.47
zhigansk,56,RU,1547192501,39,66.77,123.37,-25.85,7.76
port hedland,36,AU,1547190000,63,-20.31,118.58,93.2,19.46
lunenburg,1,US,1547189760,64,42.59,-71.72,24.98,8.05
padang,20,ID,1547190000,79,-0.92,100.36,86.0,5.82
saint george,75,GR,1547189400,77,39.45,22.34,41.0,1.16
broome,0,GB,1547191200,93,52.47,1.45,44.6,5.82
pokhara,68,NP,1547192504,66,28.21,83.99,53.45,2.62
ledyard,20,US,1547189760,52,41.44,-72.02,30.02,18.34
mitsamiouli,88,KM,1547192504,90,-11.38,43.28,85.31,7.65
pacific grove,20,US,1547191200,92,36.62,-121.92,48.92,3.36
khvalynsk,88,RU,1547192505,89,52.5,48.11,6.15,5.75
vinh yen,75,VN,1547190000,93,21.31,105.6,66.2,3.36
sambava,32,MG,1547192505,100,-14.27,50.17,83.42,5.41
angoche,88,MZ,1547192506,100,-16.23,39.91,76.67,17.49
kargopol,92,RU,1547192506,88,61.51,38.95,17.0,22.86
sorland,75,NO,1547189400,69,67.67,12.69,39.2,28.86
north bend,1,US,1547189760,96,43.41,-124.22,48.02,4.7
boddam,40,GB,1547191200,70,57.47,-1.78,46.4,4.7
severo-kurilsk,0,RU,1547192507,100,50.68,156.12,13.26,9.66
roanoke rapids,1,US,1547191200,68,36.46,-77.65,26.6,6.31
san patricio,92,PY,1547192508,87,-26.98,-56.83,70.41,5.64
vao,92,EE,1547192508,96,59.1,26.19,34.19,14.25
la sarre,32,CA,1547192509,67,48.8,-79.2,-9.6,9.66
hanstholm,0,DK,1547192509,87,57.12,8.61,44.54,27.34
tateyama,40,JP,1547190000,48,36.66,137.31,44.6,5.82
wuwei,0,CN,1547192510,55,37.93,102.64,30.9,3.29
manadhoo,32,MV,1547192510,100,5.77,73.38,81.8,11.56
tevaitoa,92,PF,1547192393,100,-16.78,-151.5,79.19,18.72
mitu,0,IR,1547192510,56,36.2,46.09,37.43,1.16
liverpool,75,GB,1547191200,87,53.41,-2.98,44.6,8.05
fereydunshahr,0,IR,1547192511,40,32.94,50.12,42.06,1.61
cockburn town,64,TC,1547192448,100,21.46,-71.14,76.35,7.65
tigil,64,RU,1547192512,70,57.8,158.67,4.13,3.96
cabedelo,40,BR,1547190000,100,-6.97,-34.84,73.4,5.82
dubai,40,AE,1547190000,56,25.27,55.3,73.4,11.41
alice springs,48,AU,1547190000,12,-23.7,133.88,107.6,4.7
gat,88,SN,1547190000,72,14.69,-16.54,64.4,12.75
verkhoyansk,68,RU,1547192513,72,67.55,133.39,-37.32,1.61
hamina,90,FI,1547191200,90,60.57,27.2,32.0,13.87
aasiaat,56,GL,1547192380,100,68.71,-52.87,12.45,7.43
kudahuvadhoo,80,MV,1547192514,100,2.67,72.89,78.78,5.97
cidreira,68,BR,1547192514,94,-30.17,-50.22,73.65,4.74
rio gallegos,40,AR,1547190000,54,-51.62,-69.22,57.2,11.41
half moon bay,90,US,1547191140,100,37.46,-122.43,53.96,3.36
gerash,0,IR,1547190000,38,27.67,54.14,60.8,4.7
brae,75,GB,1547191200,93,60.4,-1.35,48.2,3.36
portland,90,US,1547189280,92,45.52,-122.67,48.02,3.4
shentala,56,RU,1547192516,87,54.44,51.46,11.91,9.66
rincon,1,US,1547190900,98,32.3,-81.24,42.08,8.21
shelburne,90,CA,1547190960,77,44.08,-80.2,10.4,5.82
jonkoping,75,SE,1547191200,100,57.78,14.16,35.6,11.41
de aar,12,ZA,1547192517,18,-30.65,24.01,83.15,13.8
huancabamba,48,PE,1547192518,92,-5.24,-79.45,53.13,2.17
moroni,68,US,1547192518,78,39.52,-111.59,15.92,2.06
melfi,90,IT,1547189700,86,41.0,15.66,35.6,5.82
olavarria,0,AR,1547192425,85,-36.89,-60.32,43.28,3.4
phonhong,75,LA,1547190000,52,18.5,102.42,87.8,4.7
kieta,20,PG,1547192520,87,-6.22,155.63,83.15,4.63
gravdal,75,NO,1547191200,80,59.79,5.78,44.6,10.29
saldanha,0,PT,1547192520,87,41.42,-6.55,23.39,5.19
xuddur,0,SO,1547192521,40,4.12,43.89,85.08,18.28
bathsheba,40,BB,1547190000,78,13.22,-59.52,77.0,12.75
niono,0,ML,1547192521,33,14.25,-5.99,69.83,7.65
poum,90,MK,1547191800,86,41.28,20.71,28.4,6.93
rognan,75,NO,1547191200,93,67.1,15.4,39.2,36.91
ottawa,20,CA,1547190000,64,45.42,-75.69,-0.41,21.92
salalah,0,OM,1547189400,45,17.01,54.1,82.4,5.82
novo oriente,76,BR,1547192523,97,-5.54,-40.77,67.35,6.87
tautira,75,PF,1547191800,88,-17.73,-149.15,78.8,5.82
komsomolskiy,76,RU,1547192525,66,67.55,63.78,-0.74,14.58
lethem,64,GY,1547192399,77,3.38,-59.8,75.41,9.44
russell,0,AR,1547192526,92,-33.01,-68.8,38.46,2.28
calama,0,CL,1547190000,76,-22.46,-68.93,50.0,4.7
yakeshi,0,CN,1547192526,64,49.28,120.73,1.79,1.95
hare bay,90,CA,1547190000,100,48.86,-53.99,28.4,3.36
awjilah,0,LY,1547192527,30,29.14,21.3,61.68,6.76
kamenka,88,RU,1547192527,90,53.19,44.05,12.5,10.78
mazeikiai,92,LT,1547192528,92,56.32,22.33,28.97,18.05
ciudad bolivar,0,VE,1547192528,77,8.12,-63.55,75.9,10.67
laizhou,92,CN,1547192528,83,37.18,119.93,35.81,1.28
omsukchan,80,RU,1547192529,90,62.53,155.8,-12.44,2.39
bani walid,76,LY,1547192529,20,31.76,14.0,51.78,4.63
bilibino,0,RU,1547192529,73,68.06,166.44,-17.39,2.28
providencia,12,CO,1547192530,98,1.24,-77.6,46.11,1.72
